,MSOA_CODE,hotspot_binary
185,E02000179,0
186,E02000035,0
187,E02000944,0
188,E02000827,1
189,E02000951,0
190,E02000208,0
191,E02000340,0
192,E02000245,0
193,E02000337,0
194,E02000403,0
195,E02006853,1
196,E02000233,0
197,E02000689,0
198,E02000105,0
199,E02000451,0
200,E02000587,1
201,E02000700,0
202,E02000079,0
203,E02000889,1
204,E02000173,1
205,E02000639,0
206,E02000806,0
207,E02000454,0
208,E02000907,0
209,E02000197,0
210,E02000855,0
211,E02000552,0
212,E02000575,1
213,E02000648,0
214,E02000130,0
215,E02000309,0
216,E02000526,0
217,E02000366,1
218,E02000559,0
219,E02000475,0
220,E02000178,0
221,E02006929,1
222,E02000536,0
223,E02000275,0
224,E02000621,1
225,E02000555,1
226,E02006799,0
227,E02000960,1
228,E02000791,0
229,E02000913,0
230,E02000831,1
231,E02000807,0
232,E02000424,0
233,E02000070,0
234,E02000546,0
235,E02000449,0
236,E02000113,0
237,E02000876,1
238,E02000292,0
239,E02000002,0
240,E02000755,0
241,E02000859,0
242,E02000802,0
243,E02000885,1
244,E02006783,0
245,E02000150,0
246,E02000406,0
247,E02000600,0
248,E02000767,0
249,E02000894,1
250,E02000478,0
251,E02000260,0
252,E02000701,0
253,E02000650,1
254,E02000902,0
255,E02000192,1
256,E02000900,0
257,E02006921,0
258,E02000068,0
259,E02000274,0
260,E02000397,0
261,E02000857,0
262,E02000780,0
263,E02000254,0
264,E02000667,0
265,E02000005,0
266,E02000872,1
267,E02000426,0
268,E02000943,0
269,E02000494,0
270,E02000418,0
271,E02000798,0
272,E02000383,1
273,E02000218,0
274,E02000759,0
275,E02000236,0
276,E02000313,0
277,E02000307,0
278,E02000297,0
279,E02000897,0
280,E02000663,0
281,E02006854,1
282,E02000664,0
283,E02000781,0
284,E02000866,1
285,E02000537,0
286,E02000333,0
287,E02000185,1
288,E02000468,0
289,E02000276,0
290,E02000912,0
291,E02000066,0
292,E02000419,0
293,E02000384,1
294,E02000908,0
295,E02000443,0
296,E02000119,0
297,E02000774,0
298,E02000939,0
299,E02000542,0
300,E02000646,0
301,E02006801,1
302,E02000604,0
303,E02000741,0
304,E02000162,0
305,E02000817,0
306,E02000377,0
307,E02000608,0
308,E02000932,1
309,E02000822,0
310,E02006930,0
311,E02000267,0
312,E02000569,1
313,E02000348,0
314,E02000271,0
315,E02000491,0
316,E02000171,1
317,E02000597,1
318,E02000144,0
319,E02000480,0
320,E02000727,0
321,E02000801,0
322,E02000813,0
323,E02000948,0
324,E02000061,0
325,E02000202,0
326,E02000833,1
327,E02000043,0
328,E02000438,0
329,E02000848,0
330,E02000169,1
331,E02000981,1
332,E02000487,0
333,E02000024,0
334,E02000528,0
335,E02000013,0
336,E02000563,0
337,E02000210,0
338,E02000797,0
339,E02000301,0
340,E02000749,0
341,E02000189,1
342,E02000711,0
343,E02000516,0
344,E02000634,0
345,E02000421,0
346,E02000712,0
347,E02000380,0
348,E02000586,1
349,E02000217,0
350,E02000576,1
351,E02000593,1
352,E02000138,0
353,E02000394,1
354,E02000153,0
355,E02000518,0
356,E02000282,0
357,E02000331,0
358,E02000625,1
359,E02000021,0
360,E02000670,0
361,E02000602,0
362,E02000592,1
363,E02000257,0
364,E02000204,0
365,E02000551,0
366,E02000896,0
367,E02000703,0
368,E02000635,0
369,E02000187,1
370,E02000342,0
371,E02000769,0
372,E02000334,0
373,E02000949,0
374,E02000502,0
375,E02000221,0
376,E02000190,1
377,E02000512,0
378,E02000508,0
379,E02000369,1
380,E02000479,0
381,E02000463,0
382,E02000030,0
383,E02000867,1
384,E02000048,0
385,E02000671,0
386,E02000177,1
387,E02000506,0
388,E02000219,0
389,E02000659,0
390,E02000612,0
391,E02000303,0
392,E02000955,0
393,E02000482,0
394,E02000803,0
395,E02000247,0
396,E02000014,0
397,E02000485,0
398,E02000916,0
399,E02000284,0
400,E02000467,0
401,E02000163,0
402,E02000683,0
403,E02000522,0
404,E02006784,0
405,E02000170,0
406,E02000357,0
407,E02000888,1
408,E02000697,0
409,E02006792,0
410,E02000240,0
411,E02000716,0
412,E02000052,0
413,E02000495,0
414,E02000579,0
415,E02000585,1
416,E02000442,0
417,E02000220,0
418,E02000405,0
419,E02000941,0
420,E02000311,0
421,E02000328,0
422,E02000283,0
423,E02006796,0
424,E02000521,0
425,E02000012,0
426,E02000644,0
427,E02000329,0
428,E02000840,0
429,E02000904,0
430,E02000651,0
431,E02006924,0
432,E02000819,1
433,E02000611,0
434,E02000946,0
435,E02000539,0
436,E02000773,0
437,E02000198,0
438,E02000022,0
439,E02000877,1
440,E02000041,0
441,E02000598,0
442,E02000886,1
443,E02000964,0
444,E02000751,0
445,E02000049,0
446,E02000051,0
447,E02000570,1
448,E02000107,0
449,E02000047,0
450,E02000720,0
451,E02000957,0
452,E02000950,0
453,E02000413,0
454,E02000054,0
455,E02000498,0
456,E02000069,0
457,E02000199,0
458,E02000277,0
459,E02000698,0
460,E02000854,0
461,E02000259,0
462,E02000298,0
463,E02000676,0
464,E02000970,1
465,E02000828,1
466,E02000631,0
467,E02000510,0
468,E02000104,0
469,E02000816,1
470,E02000500,0
471,E02000652,0
472,E02000938,0
473,E02000417,0
474,E02000863,0
475,E02000432,0
476,E02000367,1
477,E02000836,0
478,E02000982,1
479,E02000899,0
480,E02000453,0
481,E02000293,0
482,E02000269,0
483,E02000072,0
484,E02000917,0
485,E02006882,0
486,E02000914,0
487,E02000387,0
488,E02000452,0
489,E02000355,0
490,E02000953,0
491,E02000737,0
492,E02000183,1
493,E02000372,0
494,E02000952,0
495,E02000962,1
496,E02000679,0
497,E02000685,0
498,E02000125,0
499,E02000567,1
500,E02000246,0
501,E02000244,0
502,E02000852,0
503,E02000529,0
504,E02000837,0
505,E02000792,0
506,E02000280,0
507,E02000440,0
508,E02006927,0
509,E02000911,0
510,E02000810,1
511,E02000488,0
512,E02000560,0
513,E02000239,0
514,E02000295,0
515,E02000966,1
516,E02000098,0
517,E02000638,0
518,E02000032,0
519,E02000215,0
